[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:46 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:48 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:49 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:50 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:52 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:53 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:22:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:22:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:22:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:22:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:23:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:23:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:23:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 6.284s | Infer Batch: 40.9 | Total: 0:23:03 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 6.290s | Infer Batch: 40.9 | Total: 0:23:04 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 6.267s | Infer Batch: 40.9 | Total: 0:23:05 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:06 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 6.242s | Infer Batch: 40.9 | Total: 0:23:09 | ETA: 0:00:01
