[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:57 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:58 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:40:59 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:00 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:01 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:02 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:03 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:04 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:05 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:06 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:07 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:08 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:09 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:10 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:11 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:12 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:13 | ETA: 0:00:01
[KGenerating Samples |##############################  | (244/256) Sample Time: 10.028s | Infer Batch: 39.8 | Total: 0:41:14 | ETA: 0:00:01
