[KGenerating Samples |########################        | (196/256) Sample Time: 5.937s | Infer Batch: 44.1 | Total: 0:19:27 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 5.896s | Infer Batch: 44.1 | Total: 0:19:28 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 5.896s | Infer Batch: 44.1 | Total: 0:19:29 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 5.896s | Infer Batch: 44.1 | Total: 0:19:30 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.880s | Infer Batch: 44.1 | Total: 0:19:31 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.880s | Infer Batch: 44.1 | Total: 0:19:32 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.880s | Infer Batch: 44.1 | Total: 0:19:33 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.880s | Infer Batch: 44.1 | Total: 0:19:34 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 5.874s | Infer Batch: 44.1 | Total: 0:19:35 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 5.874s | Infer Batch: 44.1 | Total: 0:19:36 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 5.856s | Infer Batch: 44.1 | Total: 0:19:37 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:38 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:39 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:40 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:41 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:42 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 5.832s | Infer Batch: 44.1 | Total: 0:19:43 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 5.803s | Infer Batch: 44.1 | Total: 0:19:44 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 5.803s | Infer Batch: 44.1 | Total: 0:19:45 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 5.803s | Infer Batch: 44.1 | Total: 0:19:46 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 5.803s | Infer Batch: 44.1 | Total: 0:19:47 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 5.736s | Infer Batch: 44.1 | Total: 0:19:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 5.713s | Infer Batch: 44.1 | Total: 0:19:49 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.694s | Infer Batch: 44.1 | Total: 0:19:50 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.694s | Infer Batch: 44.1 | Total: 0:19:51 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.694s | Infer Batch: 44.1 | Total: 0:19:52 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.681s | Infer Batch: 44.1 | Total: 0:19:53 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.656s | Infer Batch: 44.1 | Total: 0:19:54 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.656s | Infer Batch: 44.1 | Total: 0:19:55 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.656s | Infer Batch: 44.1 | Total: 0:19:56 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 5.620s | Infer Batch: 44.1 | Total: 0:19:57 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:19:58 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:19:59 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:00 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:01 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:02 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:03 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:04 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:05 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:06 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:07 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:08 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:09 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:10 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.595s | Infer Batch: 44.1 | Total: 0:20:11 | ETA: 0:00:01
[KGenerating Samples |##########################      | (215/256) Sample Time: 5.638s | Infer Batch: 44.1 | Total: 0:20:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.591s | Infer Batch: 44.1 | Total: 0:20:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.591s | Infer Batch: 44.1 | Total: 0:20:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:16 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:17 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:18 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:19 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:20 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:21 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.575s | Infer Batch: 44.1 | Total: 0:20:22 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.585s | Infer Batch: 44.1 | Total: 0:20:23 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.585s | Infer Batch: 44.1 | Total: 0:20:24 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.585s | Infer Batch: 44.1 | Total: 0:20:25 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.585s | Infer Batch: 44.1 | Total: 0:20:26 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.585s | Infer Batch: 44.1 | Total: 0:20:27 | ETA: 0:00:01
