[KGenerating Samples |###########################     | (222/256) Sample Time: 4.604s | Infer Batch: 41.5 | Total: 0:17:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (223/256) Sample Time: 4.588s | Infer Batch: 41.5 | Total: 0:17:03 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:04 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:05 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:06 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:07 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:08 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:09 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 4.574s | Infer Batch: 41.5 | Total: 0:17:10 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:11 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:12 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:13 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:14 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:15 | ETA: 0:00:01
[KGenerating Samples |############################    | (226/256) Sample Time: 4.565s | Infer Batch: 41.5 | Total: 0:17:16 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:17 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:18 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:19 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:20 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:21 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:22 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 4.568s | Infer Batch: 41.5 | Total: 0:17:23 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.580s | Infer Batch: 41.5 | Total: 0:17:24 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.580s | Infer Batch: 41.5 | Total: 0:17:25 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.580s | Infer Batch: 41.5 | Total: 0:17:26 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 4.580s | Infer Batch: 41.5 | Total: 0:17:27 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:28 | ETA: 0:00:01
[KGenerating Samples |############################    | (229/256) Sample Time: 4.577s | Infer Batch: 41.5 | Total: 0:17:29 | ETA: 0:00:01
