[KGenerating Samples |##################              | (149/256) Sample Time: 2.662s | Infer Batch: 43.4 | Total: 0:06:36 | ETA: 0:00:02
[KGenerating Samples |##################              | (149/256) Sample Time: 2.662s | Infer Batch: 43.4 | Total: 0:06:37 | ETA: 0:00:02
[KGenerating Samples |##################              | (151/256) Sample Time: 2.639s | Infer Batch: 43.4 | Total: 0:06:38 | ETA: 0:00:02
[KGenerating Samples |##################              | (151/256) Sample Time: 2.639s | Infer Batch: 43.4 | Total: 0:06:39 | ETA: 0:00:02
[KGenerating Samples |###################             | (154/256) Sample Time: 2.600s | Infer Batch: 43.4 | Total: 0:06:40 | ETA: 0:00:02
[KGenerating Samples |###################             | (156/256) Sample Time: 2.572s | Infer Batch: 43.4 | Total: 0:06:41 | ETA: 0:00:02
[KGenerating Samples |###################             | (157/256) Sample Time: 2.560s | Infer Batch: 43.4 | Total: 0:06:42 | ETA: 0:00:02
[KGenerating Samples |###################             | (157/256) Sample Time: 2.560s | Infer Batch: 43.4 | Total: 0:06:43 | ETA: 0:00:02
[KGenerating Samples |###################             | (159/256) Sample Time: 2.542s | Infer Batch: 43.4 | Total: 0:06:44 | ETA: 0:00:02
[KGenerating Samples |####################            | (164/256) Sample Time: 2.474s | Infer Batch: 43.4 | Total: 0:06:45 | ETA: 0:00:02
[KGenerating Samples |####################            | (165/256) Sample Time: 2.462s | Infer Batch: 43.4 | Total: 0:06:46 | ETA: 0:00:02
[KGenerating Samples |####################            | (165/256) Sample Time: 2.462s | Infer Batch: 43.4 | Total: 0:06:47 | ETA: 0:00:02
[KGenerating Samples |####################            | (166/256) Sample Time: 2.460s | Infer Batch: 43.3 | Total: 0:06:48 | ETA: 0:00:02
[KGenerating Samples |####################            | (167/256) Sample Time: 2.451s | Infer Batch: 43.3 | Total: 0:06:49 | ETA: 0:00:02
[KGenerating Samples |#####################           | (169/256) Sample Time: 2.428s | Infer Batch: 43.3 | Total: 0:06:50 | ETA: 0:00:02
[KGenerating Samples |#####################           | (171/256) Sample Time: 2.407s | Infer Batch: 43.3 | Total: 0:06:51 | ETA: 0:00:02
[KGenerating Samples |#####################           | (172/256) Sample Time: 2.397s | Infer Batch: 43.4 | Total: 0:06:52 | ETA: 0:00:02
[KGenerating Samples |#####################           | (173/256) Sample Time: 2.391s | Infer Batch: 43.4 | Total: 0:06:53 | ETA: 0:00:02
[KGenerating Samples |######################          | (176/256) Sample Time: 2.356s | Infer Batch: 43.3 | Total: 0:06:54 | ETA: 0:00:02
[KGenerating Samples |######################          | (178/256) Sample Time: 2.333s | Infer Batch: 43.3 | Total: 0:06:55 | ETA: 0:00:02
[KGenerating Samples |######################          | (180/256) Sample Time: 2.313s | Infer Batch: 43.4 | Total: 0:06:56 | ETA: 0:00:01
[KGenerating Samples |######################          | (182/256) Sample Time: 2.291s | Infer Batch: 43.3 | Total: 0:06:57 | ETA: 0:00:01
[KGenerating Samples |######################          | (182/256) Sample Time: 2.291s | Infer Batch: 43.3 | Total: 0:06:58 | ETA: 0:00:01
[KGenerating Samples |######################          | (183/256) Sample Time: 2.289s | Infer Batch: 43.3 | Total: 0:06:59 | ETA: 0:00:01
[KGenerating Samples |#######################         | (187/256) Sample Time: 2.251s | Infer Batch: 43.3 | Total: 0:07:00 | ETA: 0:00:01
[KGenerating Samples |#######################         | (188/256) Sample Time: 2.240s | Infer Batch: 43.3 | Total: 0:07:01 | ETA: 0:00:01
[KGenerating Samples |#######################         | (189/256) Sample Time: 2.236s | Infer Batch: 43.3 | Total: 0:07:02 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 2.230s | Infer Batch: 43.3 | Total: 0:07:03 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 2.230s | Infer Batch: 43.3 | Total: 0:07:04 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 2.229s | Infer Batch: 43.3 | Total: 0:07:05 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 2.229s | Infer Batch: 43.3 | Total: 0:07:06 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 2.229s | Infer Batch: 43.3 | Total: 0:07:08 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:09 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:10 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:11 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:12 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:13 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:14 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 2.242s | Infer Batch: 43.3 | Total: 0:07:15 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 2.233s | Infer Batch: 43.3 | Total: 0:07:16 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 2.225s | Infer Batch: 43.3 | Total: 0:07:17 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 2.220s | Infer Batch: 43.3 | Total: 0:07:18 | ETA: 0:00:01
