[KGenerating Samples |#######################         | (189/256) Sample Time: 3.444s | Infer Batch: 42.1 | Total: 0:10:51 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 3.413s | Infer Batch: 42.1 | Total: 0:10:52 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 3.413s | Infer Batch: 42.1 | Total: 0:10:53 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 3.413s | Infer Batch: 42.1 | Total: 0:10:54 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 3.413s | Infer Batch: 42.1 | Total: 0:10:55 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 3.413s | Infer Batch: 42.1 | Total: 0:10:56 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 3.424s | Infer Batch: 42.1 | Total: 0:10:57 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 3.424s | Infer Batch: 42.1 | Total: 0:10:58 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 3.424s | Infer Batch: 42.0 | Total: 0:10:59 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 3.419s | Infer Batch: 42.1 | Total: 0:11:00 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 3.410s | Infer Batch: 42.0 | Total: 0:11:01 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 3.410s | Infer Batch: 42.0 | Total: 0:11:02 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 3.410s | Infer Batch: 42.0 | Total: 0:11:03 | ETA: 0:00:01
[KGenerating Samples |########################        | (196/256) Sample Time: 3.389s | Infer Batch: 42.0 | Total: 0:11:04 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 3.346s | Infer Batch: 42.0 | Total: 0:11:05 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 3.346s | Infer Batch: 42.0 | Total: 0:11:06 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 3.346s | Infer Batch: 42.1 | Total: 0:11:07 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 3.342s | Infer Batch: 42.0 | Total: 0:11:08 | ETA: 0:00:01
[KGenerating Samples |#########################       | (200/256) Sample Time: 3.342s | Infer Batch: 42.0 | Total: 0:11:09 | ETA: 0:00:01
[KGenerating Samples |#########################       | (202/256) Sample Time: 3.320s | Infer Batch: 42.0 | Total: 0:11:10 | ETA: 0:00:01
