[KGenerating Samples |##########################      | (214/256) Sample Time: 5.269s | Infer Batch: 40.7 | Total: 0:18:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.269s | Infer Batch: 40.7 | Total: 0:18:49 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:50 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:52 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:53 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:03 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:04 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:05 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:06 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:09 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:11 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:16 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:17 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:18 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:19 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:20 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:21 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:22 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:23 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:24 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:25 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:26 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:27 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:28 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:29 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:30 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:31 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:32 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:33 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:34 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:35 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:36 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:37 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:38 | ETA: 0:00:01
[KGenerating Samples |###########################     | (219/256) Sample Time: 5.318s | Infer Batch: 40.7 | Total: 0:19:39 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:40 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:41 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:42 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:43 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:44 | ETA: 0:00:01
[KGenerating Samples |###########################     | (220/256) Sample Time: 5.365s | Infer Batch: 40.7 | Total: 0:19:45 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.366s | Infer Batch: 40.7 | Total: 0:19:46 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.366s | Infer Batch: 40.7 | Total: 0:19:47 | ETA: 0:00:01
[KGenerating Samples |###########################     | (221/256) Sample Time: 5.366s | Infer Batch: 40.7 | Total: 0:19:48 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.360s | Infer Batch: 40.7 | Total: 0:19:49 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.360s | Infer Batch: 40.7 | Total: 0:19:50 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.360s | Infer Batch: 40.7 | Total: 0:19:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (222/256) Sample Time: 5.360s | Infer Batch: 40.7 | Total: 0:19:52 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:53 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:54 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:55 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:56 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:57 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:58 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:19:59 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.7 | Total: 0:20:00 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.8 | Total: 0:20:01 | ETA: 0:00:01
[KGenerating Samples |############################    | (224/256) Sample Time: 5.329s | Infer Batch: 40.8 | Total: 0:20:03 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 5.347s | Infer Batch: 40.8 | Total: 0:20:04 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 5.347s | Infer Batch: 40.8 | Total: 0:20:05 | ETA: 0:00:01
[KGenerating Samples |############################    | (225/256) Sample Time: 5.347s | Infer Batch: 40.8 | Total: 0:20:06 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:07 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:08 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:09 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:10 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:11 | ETA: 0:00:01
[KGenerating Samples |############################    | (227/256) Sample Time: 5.317s | Infer Batch: 40.8 | Total: 0:20:12 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:13 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:14 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:15 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:16 | ETA: 0:00:01
[KGenerating Samples |############################    | (228/256) Sample Time: 5.318s | Infer Batch: 40.8 | Total: 0:20:17 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:18 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:19 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:20 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:21 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:22 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:23 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:24 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:25 | ETA: 0:00:01
[KGenerating Samples |############################    | (230/256) Sample Time: 5.294s | Infer Batch: 40.8 | Total: 0:20:26 | ETA: 0:00:01
[KGenerating Samples |############################    | (231/256) Sample Time: 5.310s | Infer Batch: 40.8 | Total: 0:20:27 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:28 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:29 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:30 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:31 | ETA: 0:00:01
[KGenerating Samples |#############################   | (232/256) Sample Time: 5.293s | Infer Batch: 40.8 | Total: 0:20:32 | ETA: 0:00:01
